Time Index,Year,Domestic ,International,TOTAL,,
135,7/1/2014,476,"8,782,744",8783220,,
136,8/1/2014,,"9,038,255",9038255,,
137,9/1/2014,143,"7,619,322",7619465,,
138,10/1/2014,666,"7,672,751",7673417,,
139,11/1/2014,304,"6,638,504",6638808,,
140,12/1/2014,345,"7,625,783",7626128,,
141,1/1/2015,409,"7,308,014",7308423,,
142,2/1/2015,360,"6,387,275",6387635,,
143,3/1/2015,398,"7,607,862",7608260,,
144,4/1/2015,298,"7,484,217",7484515,,
145,5/1/2015,662,"8,431,154",8431816,,
146,6/1/2015,571,"8,260,090",8260661,,
147,7/1/2015,820,"8,978,059",8978879,,
148,8/1/2015,626,"8,822,627",8823253,,
